"school","sex","age","studytime","failures","PrevG","absences","G3"
"GP","Female",17,2,0,14.5,0,15
"GP","Male",17,1,0,16,4,16
"GP","Male",16,1,0,9,8,10
"GP","Female",17,1,1,18,24,18
"GP","Female",16,2,0,9,0,10
"GP","Female",16,2,0,16,2,16
"GP","Female",16,2,0,9,6,10
"GP","Female",17,2,0,9,4,10
"GP","Female",17,1,0,6.5,18,6
"GP","Female",16,4,0,10,6,11
"GP","Female",17,3,1,9.5,28,9
"GP","Female",16,2,3,7,5,7
"GP","Female",16,2,0,11.5,10,13
"GP","Female",16,1,0,9,6,10
"GP","Female",17,3,0,7,6,7
"GP","Female",19,4,0,8,10,8
"GP","Male",17,2,0,12,13,13
"GP","Female",16,2,0,12.5,0,14
"GP","Male",18,2,1,6.5,15,8
"GP","Female",17,1,0,9,12,10
"GP","Female",17,2,0,14.5,2,15
"GP","Female",17,2,2,6,22,4
"GP","Male",18,2,1,6,13,8
"GP","Female",17,1,0,7,3,8
"GP","Female",17,3,0,9.5,4,10
"GP","Female",17,2,0,6,2,6
"GP","Female",17,3,1,5.5,0,0
"GP","Female",16,2,0,16,2,17
"GP","Male",18,2,0,12.5,0,13
"GP","Female",16,3,0,13,0,14
"GP","Female",18,2,1,8.5,16,7
"GP","Female",17,2,0,15.5,10,15
"GP","Male",17,2,0,11.5,2,12
"GP","Male",18,2,0,9,14,9
"GP","Female",17,3,0,11,10,12
"GP","Female",17,2,0,13,14,14
"GP","Male",17,2,0,11,4,11
"GP","Male",17,2,0,10,14,9
"GP","Male",16,2,0,13.5,2,13
"GP","Male",16,2,0,8,18,6
"GP","Male",16,3,0,10,10,10
"GP","Male",17,2,0,13.5,4,13
"GP","Female",16,1,0,12.5,20,12
"GP","Female",17,2,0,12,2,11
"GP","Male",18,2,1,7,0,0
"GP","Male",17,2,0,12,14,12
"GP","Male",17,2,0,10.5,2,12
"GP","Male",16,1,0,3,0,0
"GP","Male",16,1,0,12.5,0,12
"GP","Female",18,3,0,3.5,0,0
"GP","Male",16,1,0,18,6,18
"GP","Male",17,1,0,12,4,13
"GP","Male",22,1,3,7,16,8
"GP","Male",18,2,1,4,8,5
"GP","Male",16,1,0,14,0,15
"GP","Male",18,1,1,7,0,8
"GP","Male",16,2,0,8.5,6,10
"GP","Male",18,1,1,7.5,4,8
"GP","Male",16,1,0,8.5,0,8
"GP","Male",17,1,0,10,0,12
"GP","Male",17,1,1,8,2,8
"GP","Female",17,4,0,13,6,13
"GP","Male",19,2,0,11,12,11
"GP","Male",18,2,0,14.5,8,14
"GP","Female",17,4,0,9.5,0,0
"GP","Female",18,2,0,17.5,21,18
"GP","Male",18,2,0,8,2,8
"GP","Male",18,3,0,12.5,1,12
"GP","Female",17,3,0,9.5,4,9
"GP","Female",18,3,0,9.5,0,0
"GP","Male",18,2,0,17,13,17
"GP","Male",17,2,0,9,2,10
"GP","Female",18,2,0,11,8,11
"GP","Male",18,2,0,9.5,10,10
"GP","Female",18,2,0,3,0,0
"GP","Female",19,2,2,9,15,9
"GP","Female",18,4,0,14.5,4,14
"GP","Female",18,2,0,11,2,11
"GP","Male",17,2,0,14.5,2,14
"GP","Female",17,2,0,10,2,10
"GP","Female",17,2,0,12,6,12
"GP","Female",18,2,0,9.5,75,9
"GP","Male",18,1,0,9,22,9
"GP","Female",18,2,1,8.5,15,8
"GP","Male",18,1,0,10.5,8,10
"GP","Male",17,1,0,8,30,8
"GP","Male",17,1,1,10,19,10
"GP","Female",18,4,0,12,1,12
"GP","Female",18,2,0,8.5,4,10
"GP","Female",17,2,0,9.5,4,11
"GP","Male",17,2,0,11,2,11
"GP","Female",18,3,0,18,5,19
"GP","Female",17,3,0,12.5,6,12
"GP","Male",18,3,0,14.5,6,14
"GP","Male",18,2,0,14,9,15
"GP","Male",18,2,0,11.5,11,11
"GP","Female",17,3,0,15,0,15
"GP","Female",18,2,1,12,12,13
"GP","Female",17,4,0,18,6,18
"GP","Male",18,3,0,13.5,8,14
"GP","Male",17,1,0,13,4,11
"GP","Female",19,2,0,9.5,0,0
"GP","Female",18,2,0,9,10,8
"GP","Female",18,4,0,13.5,0,14
"GP","Male",18,1,0,15.5,5,16
"GP","Female",18,2,0,11,14,11
"GP","Male",17,1,0,11,0,10
"GP","Female",17,3,0,13.5,0,14
"GP","Female",17,4,0,17,0,18
"GP","Male",19,2,1,14.5,20,13
"GP","Female",18,2,1,13,8,12
"GP","Male",20,1,0,17.5,0,18
"GP","Male",19,1,1,8.5,38,8
"GP","Male",19,2,1,13.5,0,12
"GP","Female",19,2,1,11,18,10
"GP","Female",19,2,1,9,0,0
"GP","Female",19,2,0,13,20,13
"GP","Male",19,2,1,12,3,11
"GP","Female",19,2,1,11.5,22,11
"GP","Female",19,3,2,14,14,13
"GP","Female",19,3,1,12,40,11
"GP","Female",18,2,0,8,0,0
"GP","Female",18,3,0,9.5,9,9
"GP","Female",17,3,0,11,0,10
"GP","Female",18,2,0,11,2,11
"GP","Female",17,2,0,13,23,13
"GP","Female",17,2,0,10,12,9
"GP","Female",17,3,0,11,3,11
"GP","Female",17,3,0,13,1,15
"GP","Female",17,3,0,15.5,0,15
"GP","Male",18,3,0,10.5,3,11
"GP","Male",17,1,0,14.5,3,16
"GP","Male",17,1,0,10.5,8,10
"GP","Female",17,3,0,9.5,7,9
"GP","Female",17,3,0,14,4,14
"GP","Male",18,4,0,8.5,2,8
"GP","Female",17,3,0,13,7,14
"GP","Female",18,2,0,3.5,0,0
"GP","Female",18,2,0,8,0,0
"GP","Female",18,4,0,9.5,0,0
"GP","Female",17,3,0,15.5,16,15
"GP","Female",19,3,1,13.5,12,13
"GP","Female",17,2,0,7.5,0,0
"GP","Female",18,4,0,15.5,7,17
"GP","Female",17,2,0,9.5,4,10
"GP","Female",19,3,1,11.5,4,11
"GP","Male",18,2,1,10,0,0
"GP","Male",18,2,0,15.5,11,15
"GP","Female",17,2,1,8.5,0,0
"GP","Female",18,3,0,10.5,4,10
"GP","Female",18,3,0,13,7,14
"GP","Male",18,3,0,15.5,9,16
"GP","Male",18,3,0,10,0,9
"GP","Female",17,3,0,14,0,15
"MS","Male",18,1,1,12,10,13
"MS","Male",19,2,3,7.5,8,8
"MS","Male",17,2,0,13,2,13
"MS","Male",18,1,1,7.5,7,8
"MS","Male",19,1,1,8,4,8
"MS","Male",17,2,0,12,4,11
"MS","Female",18,2,0,9.5,0,9
"MS","Female",17,2,0,12.5,4,13
"MS","Female",17,2,0,12,2,11
"MS","Male",18,1,0,10,4,10
"MS","Female",18,3,0,17,0,16
"MS","Female",18,2,0,13,0,13
"MS","Male",18,2,1,12.5,2,12
"MS","Female",18,2,0,11,0,10
"MS","Female",17,2,0,15.5,0,15
"MS","Female",17,2,0,11.5,0,12
"MS","Male",18,2,0,10,4,10
"MS","Male",18,3,0,13,0,13
"MS","Female",17,1,1,6.5,0,0
"MS","Female",18,1,0,10.5,0,10
"MS","Female",18,2,0,13,10,11
"MS","Female",19,2,2,7,4,9
"MS","Male",18,1,0,13,3,12
"MS","Female",17,3,0,12,8,11
"MS","Female",17,1,0,5.5,14,5
"MS","Female",18,3,0,18.5,0,19
"MS","Female",18,3,0,8,2,10
"MS","Female",20,3,2,14.5,4,15
"MS","Female",18,2,0,8.5,4,10
"MS","Female",18,2,0,15,0,15
"MS","Female",17,2,0,10,17,10
"MS","Male",18,2,0,14.5,4,14
"MS","Male",18,1,0,6.5,5,7
"MS","Male",17,2,0,11,2,10
"MS","Male",19,1,1,5.5,0,0
"MS","Male",18,1,1,5.5,14,5
"MS","Female",18,3,0,9.5,2,10
"MS","Female",18,1,0,5.5,7,6
"MS","Female",19,3,1,6,0,0
"MS","Female",18,2,0,8,0,8
"MS","Female",18,2,1,5.5,0,0
"MS","Male",20,2,2,9,11,9
"MS","Male",17,1,0,15,3,16
"MS","Male",21,1,3,9,3,7
"MS","Male",18,1,0,11.5,0,10
"MS","Male",19,1,0,8.5,5,9
